clientId,min_impressions,max_impressions,youtube_subscribers,instagram_followers,episode_avg_views,estimated_ad_price
thinkfasttalksmart,10110,16850,51100,24598,1692.2,"{'30s': '17,22', '60s': '22,28'}"
throughline,230700,384500,3120,7759932,0.0,"{'30s': '21,27', '60s': '27,34'}"
tigerbelly,224055,373425,995000,455595,174983.6,"{'30s': '19,25', '60s': '25,32'}"
timferrissshow,235635,392725,1670000,1704561,25607.8,"{'30s': '26,32', '60s': '32,40'}"
todayinfocus,10785,17975,1460,6049322,0.0,"{'30s': '15,20', '60s': '20,26'}"
tomorrowslegends,300,500,0,15,0.0,"{'30s': '11,16', '60s': '15,21'}"
totallyfootballshow,13845,23075,29600,10175,6366.8,"{'30s': '15,20', '60s': '20,26'}"
truecrimeallthetimeunsolved,81105,135175,2060,49726,92.8,"{'30s': '21,27', '60s': '27,34'}"
truecrimegarage,496890,828150,50500,130439,2579.4,"{'30s': '21,27', '60s': '27,34'}"
truecrimeobsessed,515625,859375,6,133628,0.0,"{'30s': '21,27', '60s': '27,34'}"
tweener-talks,105,175,682,0,36.6,"{'30s': '14,20', '60s': '18,25'}"
twogirlsoneghost,135810,226350,98700,134275,28809.0,"{'30s': '20,26', '60s': '26,33'}"
unapologeticman,19905,33175,6190,0,261.8,"{'30s': '15,20', '60s': '20,26'}"
unexplainedencounters,69360,115600,147,0,45.2,"{'30s': '15,20', '60s': '20,26'}"
unexplainedmysteries,88245,147075,315,0,235.6,"{'30s': '21,27', '60s': '27,34'}"
unfiltered,150,250,179,141,30.4,"{'30s': '10,15', '60s': '14,20'}"
unpluggered,15,25,862,0,838.0,"{'30s': '10,15', '60s': '14,20'}"
upandvanished,929790,1549650,2050,103397,0.0,"{'30s': '21,27', '60s': '27,34'}"
urbanladyprepper,105,175,78,152,41.0,"{'30s': '10,15', '60s': '14,20'}"
veryamusing,32385,53975,20700,58313,24344.0,"{'30s': '13,18', '60s': '18,24'}"
veryreallygood,116910,194850,591000,1496194,202023.2,"{'30s': '19,25', '60s': '25,32'}"
views,1056360,1760600,1540000,2020387,525231.6,"{'30s': '19,25', '60s': '25,32'}"
wdwradio,46620,77700,0,29425,0.0,"{'30s': '13,18', '60s': '18,24'}"
webuiltthisbrand,105,175,55,93,48.8,"{'30s': '14,20', '60s': '18,25'}"
whathappenedwhen,56010,93350,41000,0,2464.6,"{'30s': '15,20', '60s': '20,26'}"
whatisthefutureforcities,0,0,84,0,25.8,"{'30s': '10,15', '60s': '14,20'}"
whatshouldireadnext,75615,126025,0,81758,0.0,"{'30s': '22,28', '60s': '28,35'}"
whiskeyginger,112695,187825,546000,132358,67812.4,"{'30s': '19,25', '60s': '25,32'}"
wrongfulconviction,82905,138175,4990,46120,19543.0,"{'30s': '21,27', '60s': '27,34'}"
wsjtechnews,23520,39200,142000,5398554,569.4,"{'30s': '22,28', '60s': '28,35'}"
yoretown,30,50,238,0,42.4,"{'30s': '11,16', '60s': '15,21'}"
yourfavoritethingwithwellsandbrandi,82005,136675,1630,13665,837.4,"{'30s': '19,25', '60s': '25,32'}"
yourmomdad,348045,580075,37500,50784,7583.4,"{'30s': '19,25', '60s': '25,32'}"
zengeen,30000,50000,0,3662,0.0,"{'30s': '20,26', '60s': '26,32'}"
